video_id,url,description,timestamp,length_in_seconds,play_count,comments_count,reactions_count,reshare_count
1.74344E+15,https://www.facebook.com/reel/1743439866529112/,iShowSpeed Violates KSI 🤣,1745788651,39.339,142000,92,2621,30
1.0906E+15,https://www.facebook.com/reel/1090601559793375/,iShowSpeed Reacts To The World's Worst Barber,1745634839,47.997,120000,127,2250,18
6.59025E+14,https://www.facebook.com/reel/659024863678503/,iShowSpeed Meets Anime Voice Girl,1745202228,41.875,1600000,608,56478,825
1.202E+15,https://www.facebook.com/reel/1201997774751735/,iShowSpeed Can't Avoid This Song..,1744787547,22.338,508000,254,16888,191
1.49287E+15,https://www.facebook.com/reel/1492868748764435/,iShowSpeed Dances With A Robot.,1744787561,22.639,303000,295,9294,141
1.08115E+15,https://www.facebook.com/reel/1081149400701307/,iShowSpeed's First Time Using Nunchucks,1744787539,29.679,1700000,427,39830,259
2.67555E+15,https://www.facebook.com/reel/2675550542636833/,iShowSpeed Performs His Kung Fu Skills,1744507476,36.453,980000,1091,40172,429
9.6226E+14,https://www.facebook.com/reel/962260092390561/,iShowSpeed Rides a Flying Car!,1743982729,51.801,795000,369,24686,275
1.03884E+15,https://www.facebook.com/reel/1038835411438634/,Always Be You❤️,1743907711,43.193,1400000,1001,53384,1800
1.37004E+15,https://www.facebook.com/reel/1370044414201922/,iShowSpeed Meets A RACIST FAN,1743509082,24.974,11000000,9563,145854,8800
1.1859E+15,https://www.facebook.com/reel/1185895666605637/,i’m quitting youtube💔,1743490536,19.783,1700000,1887,67702,450
3.71498E+15,https://www.facebook.com/reel/3714984458799946/,EVERYBODY FOLLOW,1743476071,12.812,1300000,304,27279,134
1.49895E+15,https://www.facebook.com/reel/1498945934825148/,,1743115310,28.261,6100000,1874,119164,514
3.75334E+15,https://www.facebook.com/reel/3753338798130110/,iShowSpeed Hosts Split Or Steal!,1742699912,44.294,356000,124,7687,45
1.72368E+15,https://www.facebook.com/reel/1723682734886112/,iShowSpeed's First Impressions Of INVINCIBLE,1742593907,30.23,239000,144,3686,89
